1097656f 2036132g 6718750g 1343750f 4072265g 4970703g 9941406g 1988281f 1601562f 2500000g 7656250g 1531250f 3112792h 1078125f 1679687g 1269531f
1964843f 1542968f 5322265h 1039062f 9008789h 1113281f 2368164g 8222656g 1644531f 3388671g 9453125g 1890625f 1476562f 6718751g 2744140g 5488281g
8325195h 1101562f 2099610g 6855469g 1371093f 3740235g 3466797g 6933594g 1386718f 4843750g 6503906g 1300781f 6171876g 2456054g 4912110g 9824219g
1130371g 1242187f 4960938g 5898437g 1179687f 3662110g 4150390g 8300781g 1660156f 2861329g 8398437g 1679687f 1730468f 1828125f 1949218f 1515625f
8828125g 1765625f 1898437f 1500000f 6308594g 1928711g 3857422g 7714844g 1542968f 5480958h 1042968f 9594726h 1125000f 2597657g 7871094g 1574218f
4140625g 4257812g 8515625g 1703125f 1695312f 1675781f 1718750f 1812500f 6866455i 1613281f 1962890g 7421875g 1484375f 6035156g 2207031g 4414062g
2031250g 4062500g 8125000g 1625000f 2128907g 6933594g 1386718f 4843750g 6503906g 1300781f 6093751g 2329101g 4658203g 9316406g 1863281f 1343750f
5136718g 6250000g 1250000f 5078125g 6132812g 1226562f 4658204g 5292969g 1058593f 1279296g 1191406f 3886718g 3750000g 7500000g 1500000f 6367187g
7519531g 1503906f 6152343h 1140625f 2890625g 8457031g 1691406f 1667968f 1714843f 1800781f 1968750f 1640625f 3291015g 9238281g 1847656f 1394531f
1261718f 5332032g 8105469h 1621094g 3242187g 6484375g 1296875f 5996094g 2148437g 4296875g 8593750g 1718750f 1808593f 1988281f 1593750f 2436523g
5703126g 1538086g 3076172g 6152344g 1230468f 4707031g 5410156g 1082031f 1704102g 1277343f 5605468g 1342774g 2685547g 5371094g 1074218f 1635743g
1734375f 1757812f 1894531f 1488281f 6093751g 2329101g 4658203g 9316406g 1863281f 1351562f 4208984g 4414062g 8828125g 1765625f 1902343f 1425781f
4345703g 5507812g 1101562f 2153320g 6972656g 1394531f 5058593g 6132812g 1226562f 4589844g 5136719g 1027343f 6420898h 1144531f 3007812g 8671875g
7617187g 1523437f 2117920h 1058593f 1284179g 1191406f 3916016g 4638672g 9277344g 1855468f 1414062f 4619141g 5214844g 1042968f 9790040h 1214843f
5957032g 1198730g 2397461g 4794922g 9589844g 1917968f 1453125f 5488281g 2502442h 5004883h 1000976g 2001953g 4003906g 8007812g 1601562f 2490235g
1792968f 1875000f 1371093f 3779296g 3535156g 7070312g 1414062f 4658204g 5292969g 1058593f 1259765g 1187500f 3808594g 3603515g 7207031g 1441406f
